epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4579,1.27447,4.39919,1.66129,0.46624,0.17226,0.17136,0.12823,0.99302,3.74273,1.45838,8.451e-05,8.451e-05,8.451e-05
2,51.533,0.96862,2.95615,1.36468,0.397,0.30681,0.24816,0.18928,0.95323,4.32369,1.367,0.000170446,0.000170446,0.000170446
3,79.222,0.98889,2.65602,1.281,0.31876,0.43102,0.24575,0.17631,1.16391,6.80711,1.60713,0.000254646,0.000254646,0.000254646
4,104.456,0.9964,2.42689,1.29107,0.40222,0.32547,0.25849,0.17461,1.03552,4.22348,1.46817,0.000303704,0.000303704,0.000303704
5,130.602,0.96814,2.2382,1.2215,0.57922,0.34007,0.33865,0.2562,1.03947,3.87483,1.66462,0.000300605,0.000300605,0.000300605
6,157.034,0.95347,2.13032,1.25011,0.39896,0.39624,0.38779,0.30635,0.96865,3.03147,1.4052,0.000297507,0.000297507,0.000297507
7,183.845,1.04533,1.96199,1.28774,0.45634,0.26754,0.38833,0.30626,0.95761,2.51653,1.33596,0.000294408,0.000294408,0.000294408
8,209.854,0.93532,1.89913,1.23403,0.40221,0.4808,0.40953,0.31713,0.98984,2.44162,1.41614,0.000291309,0.000291309,0.000291309
9,238.395,0.90909,1.84896,1.21967,0.36109,0.42716,0.42939,0.35408,0.92601,2.01244,1.31562,0.00028821,0.00028821,0.00028821
10,266.749,0.92973,1.735,1.2152,0.27761,0.52128,0.39369,0.31033,0.91994,2.45719,1.29676,0.000285112,0.000285112,0.000285112
11,292.594,0.92533,1.65095,1.18253,0.43733,0.45653,0.44694,0.35647,0.94615,1.98513,1.33813,0.000282013,0.000282013,0.000282013
12,328.318,0.92231,1.58616,1.20408,0.41965,0.52357,0.46101,0.36067,0.89617,2.02307,1.27403,0.000278914,0.000278914,0.000278914
13,365.445,0.87697,1.48863,1.16681,0.64716,0.46594,0.52335,0.41292,0.8937,1.7962,1.24777,0.000275816,0.000275816,0.000275816
14,416.962,0.85083,1.32312,1.15524,0.43024,0.59655,0.49833,0.3825,0.90356,1.99738,1.27298,0.000272717,0.000272717,0.000272717
